trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,5,-112.82937149299971,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.998}",25,0,-72.3554830401257,"{0: 14, 1: 7, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.997}",20,0,-54.276009236560334,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.996}",25,0,-261.55811698909946,"{0: 10, 1: 2, 2: 7, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.995}",20,0,-175.52278914501053,"{0: 7, 1: 5, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.994}",35,0,-136.60285973233908,"{0: 22, 1: 6, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.993}",20,0,-48.59361220944891,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.992}",30,2,-114.42998805774627,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 1}",1
